Dataset,Model,Raw AUC (Mean ± Std),Raw F1 (Mean ± Std),Raw Precision (Mean ± Std),Raw Recall (Mean ± Std),Adjusted AUC (Mean ± Std),Adjusted F1 (Mean ± Std),Adjusted Precision (Mean ± Std),Adjusted Recall (Mean ± Std)
Dataset 0,IsolationForest,0.150 ± 0.006,0.228 ± 0.000,0.129 ± 0.000,1.000 ± 0.000,0.465 ± 0.042,0.296 ± 0.055,0.244 ± 0.093,0.437 ± 0.064
Dataset 0,OneClassSVM,0.169 ± 0.004,0.228 ± 0.000,0.129 ± 0.000,1.000 ± 0.000,0.411 ± 0.005,0.242 ± 0.006,0.155 ± 0.005,0.548 ± 0.003
Dataset 0,BaseSVDD,0.715 ± 0.041,0.598 ± 0.002,0.984 ± 0.012,0.429 ± 0.004,0.855 ± 0.003,0.815 ± 0.000,1.000 ± 0.000,0.688 ± 0.000
Dataset 1,IsolationForest,0.498 ± 0.009,0.188 ± 0.003,0.110 ± 0.004,0.657 ± 0.058,0.989 ± 0.006,0.893 ± 0.060,0.841 ± 0.085,0.968 ± 0.096
Dataset 1,OneClassSVM,0.443 ± 0.021,0.165 ± 0.003,0.102 ± 0.023,0.697 ± 0.250,0.991 ± 0.007,0.923 ± 0.055,0.861 ± 0.095,1.000 ± 0.000
Dataset 1,BaseSVDD,0.535 ± 0.046,0.218 ± 0.020,0.140 ± 0.028,0.586 ± 0.157,0.997 ± 0.001,0.966 ± 0.010,0.935 ± 0.019,1.000 ± 0.000
Dataset 2,IsolationForest,0.480 ± 0.006,0.243 ± 0.001,0.142 ± 0.001,0.858 ± 0.028,0.987 ± 0.007,0.926 ± 0.042,0.865 ± 0.069,1.000 ± 0.000
Dataset 2,OneClassSVM,0.453 ± 0.007,0.241 ± 0.000,0.137 ± 0.000,1.000 ± 0.000,0.994 ± 0.005,0.967 ± 0.025,0.937 ± 0.046,1.000 ± 0.000
Dataset 2,BaseSVDD,0.531 ± 0.022,0.254 ± 0.005,0.151 ± 0.005,0.808 ± 0.064,0.992 ± 0.000,0.951 ± 0.000,0.906 ± 0.000,1.000 ± 0.000
